Case.Number,OBJECTID,Part,Description,zoning_old,zoning_new,acres,n_sfd,n_sfa,n_mfd,n_unknown,n_affordable,n_age_restrict
REZ2016-00011,55469,,"11120 LLC AT INDUSTRIAL ROAD; REQUEST TO REZONE APPROXIMATELY 2 ACRES FROM M-2, LIGHT INDUSTRIAL, TO M / T, INDUSTRIAL / TRANSPORTATION. THE PROPERTY IS LOCATED AT 11120 INDUSTRIAL ROAD, APPROXIMATELY 1,040 FEET FEET WEST OF THE INTERSECTION OF INDUSTRIAL ROAD AND HORNBAKER ROAD. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPIN 7595-78-1595, IS ZONED M-2, LIGHT INDUSTRIAL, AND IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN. BRENTSVILLE MAGISTERIAL DISTRICT.",M-2,M/T,2,,,,,,
REZ2016-00013,55470,,"REQUEST TO REZONE APPROXIMATELY 4.1061 ACRES FROM M-2, LIGHT INDUSTRIAL, TO M / T, INDUSTRIAL / TRANSPORTATION. THE PROPERTY IS LOCATED AT 11112 AND 11116 INDUSTRIAL ROAD, APPROXIMATELY 735 FEET WEST OF THE INTERSECTION OF INDUSTRIAL ROAD AND HORNBAKER ROAD. THE SITES ARE IDENTIFIED ON COUNTY MAPS AS GPINS 7595-78-3088 AND 7595-78-4591, IS ZONED M-2, LIGHT INDUSTRIAL, AND IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN. BRENTSVILLE MAGISTERIAL DISTRICT.",M-2,M/T,4.11,,,,,,
REZ2016-00014,55472,,"REQUEST TO REZONE APPROXIMATELY 3.8352 ACRES FROM M-2, LIGHT INDUSTRIAL, TO M / T, INDUSTRIAL / TRANSPORTATION. THE PROPERTY IS LOCATED AT 11124 AND 11128 INDUSTRIAL ROAD, APPROXIMATELY 1, 180 FEET WEST OF THE INTERSECTION OF INDUSTRIAL ROAD AND HORNBAKER ROAD. THE SITES ARE IDENTIFIED ON COUNTY MAPS AS GPINS 7595-68-8696AND 7595-78-0192, IS ZONED M-2, LIGHT INDUSTRIAL, AND IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN. BRENTSVILLE MAGISTERIAL DISTRICT",M-2,M/T,3.84,,,,,,
REZ2016-00015,56443,,"MIA'S MEADOW - A REQUEST TO REZONE FROM A-1, AGRICULTURAL, TO PMR, PLANNED MIXED RESIDENTIAL, WHICH WOULD ALL FOR THE DEVELOPMENT OF FORTY-FIVE SINGLE FAMILY DETACHED UNITS WITH THE AVERAGE LOT SIZE OF .26 ACRES. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPINS 8091-55-3905 AND 8091-55-6215, IS ZONED A-1, AGRICULTURAL, AND IS DESIGNATED SRL, SUBURBAN RESIDENTIAL LOW, IN THE COMPREHENSIVE PLAN. THE PARCEL ALSO FALLS WITHIN THE MINNIEVILLE ROAD AND SPRIGGS ROAD HIGHWAY CORRIDOR OVERLAY DISTRICTS. POTOMAC MAGISTERIAL DISTRICT",A-1,PMR,11.7,45,,,,,
REZ2016-00016,12443,,"TACO BELL - OLD BRIDGE RD; REZ; TO REZONE THE SITE FROM A-1, AGRICULTURAL, TO B-1, GENERAL BUSINESS. THE PROPERTY IS LOCATED AT 3308 OLD BRIDGE ROAD, AT THE INTERSECTION OF OLD BRIDGE ROAD AND CAPE COD COURT. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPIN 8293-04-8749, IS ZONED A-1, AGRICULTURAL, AND IS DESIGNATED NC, NEIGHBORHOOD COMMERCIAL, IN THE COMPREHENSIVE PLAN. THE PROPERTY ALSO FALLS WITHIN THE OLD BRIDGE ROAD HIGHWAY CORRIDOR OVERLAY DISTRICT AND IS CONCURRENT WITH THE SPECIAL USE PERMIT CASE SUP2016-00022. OCCOQUAN MAGISTERIAL DISTRICT.",A-1,B-1,,,,,,,
REZ2016-00017,,,"WELLINGTON ASSOCIATES LLC; TO REZONE +/- 7.03 ACRES FROM A-1 TO M-2; ZONED A-1, AGRICULTURAL; DESIGNATED FEC, FLEXIBLE USE EMPLOYMENT CENTER",A-1,M-2,7.03,,,,,,
REZ2016-00018,58040,,"APOLLO ENTERPRISES, LLC - A REQUEST TO REZONE APPROXIMATELY 25 ACRE PROPERTY FROM A-1, AGRICULTURAL, AND PBD, PLANNED BUSINESS DISTRICT, TO M-2, LIGHT INDUSTRIAL, B-1, GENERAL COMMERCIAL, AND R-6, RESIDENTIAL, TO ALLOW A MIXED RETAIL, SELF - STORAGE, AND RESIDENTIAL (TOWNHOUSE). THE PROPERTY IS LOCATED AT 5109 AND 5115 HOADLY ROAD AND 12701, 12751, AND 12800 APOLLO DRIVE, APPROXIMATELY 200 FEET NORTHEAST OF THE INTERSECTION OF APOLLO DRIVE AND HOADLY ROAD. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPINS 8093-82-3587, 8093-81-6290, AND 8093-82-8425, 8093-81-3943, AND 8093-91-0735, IS ZONED A-1, AGRICULTURAL, AND PBD, PLANNED BUSINESS DISTRICT, AND IS DESIGNATED CEC, COMMUNITY EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN. THE PROPERTY ALSO FALLS WITHIN THE PRINCE WILLIAM PARKWAY AND HOADLY ROAD HIGHWAY CORRIDOR OVERLAY DISTRICT AND THE GOVERNMENT CENTER SECTOR PLAN. NEABSCO MAGISTERIAL DISTRICT.","A-1, PBD","M-2, B-1, R-6",25,,,,,,
REZ2016-00018,58041,,"APOLLO ENTERPRISES, LLC - A REQUEST TO REZONE APPROXIMATELY 25 ACRE PROPERTY FROM A-1, AGRICULTURAL, AND PBD, PLANNED BUSINESS DISTRICT, TO M-2, LIGHT INDUSTRIAL, B-1, GENERAL COMMERCIAL, AND R-6, RESIDENTIAL, TO ALLOW A MIXED RETAIL, SELF - STORAGE, AND RESIDENTIAL (TOWNHOUSE). THE PROPERTY IS LOCATED AT 5109 AND 5115 HOADLY ROAD AND 12701, 12751, AND 12800 APOLLO DRIVE, APPROXIMATELY 200 FEET NORTHEAST OF THE INTERSECTION OF APOLLO DRIVE AND HOADLY ROAD. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPINS 8093-82-3587, 8093-81-6290, AND 8093-82-8425, 8093-81-3943, AND 8093-91-0735, IS ZONED A-1, AGRICULTURAL, AND PBD, PLANNED BUSINESS DISTRICT, AND IS DESIGNATED CEC, COMMUNITY EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN. THE PROPERTY ALSO FALLS WITHIN THE PRINCE WILLIAM PARKWAY AND HOADLY ROAD HIGHWAY CORRIDOR OVERLAY DISTRICT AND THE GOVERNMENT CENTER SECTOR PLAN. NEABSCO MAGISTERIAL DISTRICT.","A-1, PBD","M-2, B-1, R-6",,,,,,,
REZ2016-00018,58042,,"APOLLO ENTERPRISES, LLC - A REQUEST TO REZONE APPROXIMATELY 25 ACRE PROPERTY FROM A-1, AGRICULTURAL, AND PBD, PLANNED BUSINESS DISTRICT, TO M-2, LIGHT INDUSTRIAL, B-1, GENERAL COMMERCIAL, AND R-6, RESIDENTIAL, TO ALLOW A MIXED RETAIL, SELF - STORAGE, AND RESIDENTIAL (TOWNHOUSE). THE PROPERTY IS LOCATED AT 5109 AND 5115 HOADLY ROAD AND 12701, 12751, AND 12800 APOLLO DRIVE, APPROXIMATELY 200 FEET NORTHEAST OF THE INTERSECTION OF APOLLO DRIVE AND HOADLY ROAD. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPINS 8093-82-3587, 8093-81-6290, AND 8093-82-8425, 8093-81-3943, AND 8093-91-0735, IS ZONED A-1, AGRICULTURAL, AND PBD, PLANNED BUSINESS DISTRICT, AND IS DESIGNATED CEC, COMMUNITY EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN. THE PROPERTY ALSO FALLS WITHIN THE PRINCE WILLIAM PARKWAY AND HOADLY ROAD HIGHWAY CORRIDOR OVERLAY DISTRICT AND THE GOVERNMENT CENTER SECTOR PLAN. NEABSCO MAGISTERIAL DISTRICT.","A-1, PBD","M-2, B-1, R-6",,,,,,,
REZ2016-00019,55175,,"TO REZONE 24.04 ACRES FROM M-1, HEAVY INDUSTRIAL, TO B-1, GENERAL BUSINESS, TO DEVELOP A COMMERCIAL RECREATION FACILITY AND RETAIL USES. THE PROPERTY IS LOCATED AT  7801 LIMESTONE DRIVE, APPROXIMATELY 1,400 FEET SOUTH EAST OF THE INTERSECTION OF WELLINGTON ROAD AND LIMESTONE DRIVE. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPIN 7497-01-3120, IS ZONED M-1, HEAVY INDUSTRIAL, AND IS DESIGNATED FEC, FLEXIBLE USE EMPLOYMENT CENTER. THE SITE ALSO FALLS WITHIN THE ROUTE 29/ I-66 SPECIAL PLANNING AREA AND THE AIRPORT SAFETY OVERLAY DISTRICT. CONCURRENTLY PROCESSED WITH CPA2016-00004. BRENTSVILLE MAGISTERIAL DISTRICT.",M-1,B-1,24.04,,,,,,
REZ2016-00020,,,"(SUPERSEDED; SEE REZ2018-00017)TO REZONE 18.1 ACRES FROM A-1, AGRICULTURAL, TO M-1, HEAVY INDUSTRIAL, TO DEVELOP FOR INDUSTRIAL USES.  THE SUBJECT PROPERTY IS LOCATED 975 FEET SOUTH OF THE INTERSECTION OF BETHLEHEM ROAD AND BALLS FORD ROAD; IS CURRENTLY ADDRESSED AS 7512 AND 7526 BETHLEHEM ROAD; AND IS IDENTIFIED ON COUNTY MAPS AS GPINS 7597-72-7231 AND 7597-71-9988.  THE SITE IS DESIGNATED FEC, FLEXIBLE USE EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE DATA CENTER OPPORTUNITY OVERLAY DISTRICT AND THE AIRPORT SAFETY OVERLAY DISTRICT.",A-1,M-1,18.1,,,,,,
REZ2016-00021,,,"KLINE PROPERTY - TO REZONE 55.42 ACRES FROM A-1, AGRICULTURAL, TO PMR, PLANNED MIXED RESIDENTIAL, AND B-1, GENERAL BUSINESS, AND WITH ASSOCIATED DEVELOPMENT WAIVERS/MODIFICATIONS AND SIGNAGE MODIFICATIONS, TO DEVELOP MIXED RESIDENTIAL, RETAIL, COMMERCIAL, OFFICE, AND PUBLIC RECREATIONAL USES.  THE TOTAL PROJECT AREA ENCOMPASSES 100.45 ACRES.  SINGLE-FAMILY ATTACHED (TOWNHOUSE) RESIDENTIAL DWELLINGS ARE BEING PROPOSED, NOT TO EXCEED A TOTAL OF 240 UNITS.  THE SUBJECT PROPERTY IS LOCATED EAST OF THE CITY OF MANASSAS, SOUTHEAST OF THE INTERSECTION OF PRINCE WILLIAM PKWY. AND LIBERIA AVE., EAST OF PRINCE WILLIAM PKWY., AND NORTH OF BUCKHALL RD.  THE SITE IS IDENTIFIED ON COUNTY MAPS AS THE FOLLOWING GPINS:  7895-12-8843; 7895-23-2666; 7895-23-4912; 7895-32-0193; 7895-32-7841 (PORTION); AND 7895-33-1607.  THE SITE IS ZONED A-1, AGRICULTURAL; IS CURRENTLY DESIGNATED CEC, COMMUNITY EMPLOYMENT CENTER, AND SRR, SEMI-RURAL RESIDENTIAL; AND IS PARTIALLY LOCATED WITHIN THE PRINCE WILLIAM PARKWAY HIGHWAY CORRIDOR OVERLAY DISTRICT AND THE DOMESTIC FOWL OVERLAY DISTRICT.  (CONCURRENTLY BEING PROCESSED WITH #SUP2017-00037, #SUP2022-00022, AND #SUP2022-00023.)  NOTE, LONG-RANGE LAND USE IS CURRENTLY BEING EVALUATED IN THE PROPOSED LIBERIA AVENUE ACTIVITY CENTER",A-1,"PMR, B-1",55.4,,240,,,,
REZ2016-00022,63842,,"RAY'S REGARDE - A REQUEST TO REZONE A 55-ACRE PROPERTY FROM A-1, AGRICULTURAL, R-4, SUBURBAN RESIDENTIAL, AND R-16, URBAN RESIDENTIAL, TO PMR, PLANNED MIXED RESIDENTIAL, TO ALLOW UP TO 325 RESIDENTIAL UNITS. THE APPLICATION INCLUDES THE PARTIAL ABANDONMENT OF HORNER ROAD. THE PROPERTY IS LOCATED AT THE NORTHEASTERN QUADRANT OF THE I-95/PRINCE WILLIAM PARKWAY INTERCHANGE; IS ZONED A-1, R-4, AND R-16; AND IS DESIGNATED SRH, SUBURBAN RESIDENTIAL HIGH, SRL, SUBURBAN RESIDENTIAL LOW, AND ER, ENVIRONMENTAL RESOURCES, IN THE COMPREHENSIVE PLAN. WOODBRIDGE MAGISTERIAL DISTRICT","A-1, R-4, R-16",PMR,55,,,,325,,
REZ2016-00023,56444,,"ECO-NIZE OFFICE; REZONING REQUEST FROM A-1, AGRICULTURAL TO O(L), LOW-RISE OFFICE. THE SITE IS ZONED A-1, AGRICULTURAL, AND IS DESIGNATED CEC, COMMUNITY EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN. THE PROPERTY IS LOCATED IN THE LEE HWY HIGHWAY CORRIDOR OVERLAY DISTRICT (HCOD) AND SPECIAL PLAN AREA I-66/ROUTE 29. BRENTSVILLE MAGISTERIAL DISTRICT. THE PROPERTY IS IDENTIFIED ON COUNTY MAPS AS GPIN: 7397-01-2696. THE SITE IS LOCATED APPROXIMATELY .096 MILES WEST OF THE ROUTE 29 AND BALTUSROL BL INTERSECTION AND .799 MILES EAST OF THE ROUTE 29 AND LAKE MANASSAS DRIVE INTERSECTION.",A-1,O(L),,,,,,,
REZ2016-00024,233,1,"BETHLEHEM TECHNOLOGY PARK; TO REZONE +/-11.4 ACRES FROM O(F), OFFICE FLEX, +/-20.6 ACRES FROM M-1, HEAVY INDUSTRIAL & +/-13.6 ACRES FROM A-1, AGRICULTURAL TO M-2, LIGHT INDUSTRIAL.  A MAJORITY OF THE PROPERTY IS DESIGNATED FEC, FLEXIBLE EMPLOYMENT CENTER AND A PORTION OF THE PROPERTY IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN, AND IS LOCATED WITHIN THE BRENTSVILLE MAGISTERIAL DISTRICT ",O(F),M-2,11.4,,,,,,
REZ2016-00024,233,2,"BETHLEHEM TECHNOLOGY PARK; TO REZONE +/-11.4 ACRES FROM O(F), OFFICE FLEX, +/-20.6 ACRES FROM M-1, HEAVY INDUSTRIAL & +/-13.6 ACRES FROM A-1, AGRICULTURAL TO M-2, LIGHT INDUSTRIAL.  A MAJORITY OF THE PROPERTY IS DESIGNATED FEC, FLEXIBLE EMPLOYMENT CENTER AND A PORTION OF THE PROPERTY IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN, AND IS LOCATED WITHIN THE BRENTSVILLE MAGISTERIAL DISTRICT ",M-1,M-2,20.6,,,,,,
REZ2016-00024,233,3,"BETHLEHEM TECHNOLOGY PARK; TO REZONE +/-11.4 ACRES FROM O(F), OFFICE FLEX, +/-20.6 ACRES FROM M-1, HEAVY INDUSTRIAL & +/-13.6 ACRES FROM A-1, AGRICULTURAL TO M-2, LIGHT INDUSTRIAL.  A MAJORITY OF THE PROPERTY IS DESIGNATED FEC, FLEXIBLE EMPLOYMENT CENTER AND A PORTION OF THE PROPERTY IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN, AND IS LOCATED WITHIN THE BRENTSVILLE MAGISTERIAL DISTRICT ",A-1,M-2,13.6,,,,,,
REZ2016-00026,74786,,"MARUMSCO ASSEMBLAGE - A REQUEST TO REZONE A 3.44-ACRE PROPERTY FROM B-1, GENERAL BUSINESS TO R-16, SUBURBAN RESIDENTIAL HIGH, FOR THE DEVELOPMENT OF 48 MULTIFAMILY UNITS. THE SUBJECT PROPERTY FRONTS MARYS WAY AND JEFFERSON DAVIS HIGHWAY. THE PROPERTY IS IDENTIFIED ON COUNTY MAPS AS GPIN 8392-73-5504 AND GPIN 8392-73-7417. THE PROPERTY IS DESIGNATED SRH, SUBURBAN RESIDENTIAL HIGH IN THE COMPREHENSIVE PLAN AND IT IS WITHIN THE NORTH WOODBRIDGE SMALL AREA PLAN AND THE POTOMAC COMMUNITIES REVITALIZATION PLAN. WOODBRIDGE MAGISTERIAL DISTRICT",B-1,R-16,3.44,,,48,,,
REZ2016-00028,74765,,"UTTERBACK REZONING - REQUEST TO REZONE 81.6 ACRES FROM A-1, AGRICULTURAL, TO PMR, PLANNED MIXED RESIDENTIAL, TO ALLOW UP TO 222 SINGLE-FAMILY DETACHED RESIDENTIAL UNITS, AND WITH ASSOCIATED WAIVERS AND MODIFICATIONS.  THE SUBJECT PROPERTY IS LOCATED SOUTH OF LIGHTNER ROAD, ALONG OMLAND PLACE, NORTH OF UTTERBACK LANE, AND SOUTH OF THE CUL-DE-SAC/TERMINUS OF OMLAND PLACE AND OLGA COURT.  THE SITE IS DESIGNATED SRL, SUBURBAN RESIDENTIAL LOW, IN THE COMPREHENSIVE PLAN AND IS LOCATED WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT.  GAINESVILLE MAGISTERIAL DISTRICT",A-1,PMR,81.6,222,,,,,
REZ2016-00029,72294,,"DEVLIN ROAD REZONING - REZ - REZONING REQUEST RECEIVED JUNE 20, 2016  NOT SUBJECT TO SB 549 - TO REZONE +/- 269.9 ACRES FROM A-1, AGRICULTURAL, TO PMR, PLANNED MIXED RESIDENTIAL, TO ALLOW FOR THE DEVELOPMENT OF 516 SINGLE-FAMILY DETACHED UNITS. THE PROPERTY IS DESIGNATED AS SRL, SUBURBAN RESIDENTIAL LOW, IN THE COMPREHENSIVE PLAN.",A-1,PMR,269.9,516,,,,,
REZ2016-00030,,,"INNOVATION TOWN CENTER - TO REZONE 107.4 ACRES FROM A-1, AGRICULTURAL, AND PBD, PLANNING BUSINESS DISTRICT, TO PMD, PLANNED MIXED USE DISTRICT, TO ALLOW A MIXED-USE DEVELOPMENT THAT WILL INCLUDE UP TO 1,032 RESIDENTIAL UNITS AND 447,100 SQ. FT. OF NONRESIDENTIAL USES AND ASSOCIATED WAIVERS AND MODIFICATIONS, INCLUDING BUILDING HEIGHT FLOOR AREA RATIO INCREASES, AND A MODIFICATION TO THE TECHNOLOGY OVERLAY DISTRICT REGULATIONS TO ALIGN WITH THE INNOVATION SMALL AREA PLAN. THE APPLICATION ALSO INCLUDES A REQUEST TO RELEASE THE SUBJECT SITE FROM THE DECLARATION FOR THE PROPERTY OF THE PRINCE WILLIAM BOARD OF COUNTY SUPERVISORS AT INNOVATION AT PRINCE WILLIAM COUNTY. THE PROPERTY IS LOCATED AT THE SOUTHEAST QUADRANT OF THE INTERSECTION OF PRINCE WILLIAM PARKWAY/ROUTE 234 BY-PASS AND WELLINGTON ROAD; CONSISTS OF TWO PARCELS FOR A TOTAL OF 107.4 ACRES; IS ZONED A-1, AGRICULTURAL, AND PBD, PLANNED BUSINESS DISTRICT; AND IS IDENTIFIED ON COUNTY MAPS AS 7596-92-6825 AND 7696-00-5505 (PART). THE SITE IS DESIGNATED OMU, OFFICE MIXED USE, CMU, COMMERCIAL MIXED-USE, AND TC, TOWN CENTER, IN THE COMPREHENSIVE PLAN; IS LOCATED WITHIN THE INNOVATION PARK SMALL AREA PLAN.  THE SITE IS CURRENTLY ZONED A-1 AND PBD; IS ALSO LOCATED WITHIN THE TECHNOLOGY OVERLAY DISTRICT (TEOD); AND THE AIRPORT SAFETY OVERLAY DISTRICT. BRENTSVILLE MAGISTERIAL DISTRICT","A-1, PBD",PMD,107.4,,,,1032,,
REZ2017-00003,6727,,"TO REZONE 2.57 ACRES TO B-1, GENERAL BUSINESS, WITH PROFFERS TO ALLOW UP TO 440,000 SQUARE FEET OF OFFICE DEVELOPMENT WITH AN INCREASED BUILDING HEIGHT OVER 45 FEET.",,B-1,2.57,,,,,,
REZ2017-00005,,,"INNOVATION SOUTH REZONING - TO REZONE APPROXIMATELY 24.94 ACRES FROM PBD, PLANNED BUSINESS DISTRICT, TO PMD, PLANNED MIXED USE DISTRICT, TO ALLOW FOR A MIXED-USE DEVELOPMENT CONSISTING OF A MAXIMUM OF 15,000 SQUARE FEET OF NON-RESIDENTIAL USES AND A MAXIMUM OF 120 RESIDENTIAL UNITS. ASSOCIATED WITH THIS REQUEST ARE VARIOUS MODIFICATIONS AND WAIVERS TO PERMIT THE DEVELOPMENT AS PROPOSED, INCLUDING USE MODIFICATION REQUESTS TO PERMIT MOTOR VEHICLE FUEL STATION, RETAIL; CAR WASH; AND RESTAURANT, DRIVE-THROUGH USE BY-RIGHT. THE PROPERTY IS LOCATED AT 10661 AND 10671 UNIVERSITY DR. AT THE INTERSECTION OF UNIVERSITY BLVD. AND GODWIN DR. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPINS 7695-37-4637 AND 7695-46-2990; IS ZONED PBD, PLANNED BUSINESS DISTRICT AND IS DESIGNATED CMU, COMMUNITY MIXED-USE IN THE COMPREHENSIVE PLAN; IS LOCATED IN THE AIRPORT SAFETY OVERLAY DISTRICT AND THE TECHNOLOGY OVERLAY EMPLOYMENT CENTER R&D MANUFACTURING SUBDISTRICT, AND IS LOCATED IN THE INNOVATION PARK SMALL AREA PLAN AREA. BRENTSVILLE MAGISTERIAL DISTRICT.",PBD,PMD,24.9,,,,120,,
REZ2017-00007,58043,,"GRACE CHRISTIAN CHURCH REZONING - THIS IS A REQUEST TO REZONE THE SUBJECT 2.485-ACRE PROPERTY FROM R-4, SUBURBAN RESIDENTIAL, TO B-1, GENERAL BUSINESS. THE PROPERTY IS LOCATED ON THE WEST SIDE OF VAN BUREN ROAD APPROXIMATELY 750 FEET SOUTH OF ITS INTERSECTION WITH DUMFRIES ROAD (284). THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPIN 8189-67-6875(PART) AND 8189-76-0162, AND IS DESIGNATED REC, REGIONAL EMPLOYMENT CENTER, AND ER, ENVIRONMENTAL RESOURCES, IN THE COMPREHENSIVE PLAN. POTOMAC MAGISTERIAL DISTRICT",R-4,B-1,2.485,,,,,,
REZ2017-00008,,,"PURCELL ROAD REZONING - THIS IS A REQUEST TO REZONE 55.03 ACRES FROM A-1, AGRICULTURAL, TO SR-1, SEMI-RURAL RESIDENTIAL, FOR THE DEVELOPMENT OF UP TO 22 LOTS FOR SINGLE-FAMILY DETACHED DWELLINGS, WITH A 1 ACRE MINIMUM LOT AREA.  THE SUBJECT SITE IS LOCATED TO THE WEST OF PURCELL ROAD, APPROXIMATELY 275 FEET SOUTHEAST OF THE INTERSECTION OF PURCELL ROAD AND HUNTERS GROVE ROAD, AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7993-42-5999.  THE SITE IS DESIGNATED SRR, SEMI-RURAL RESIDENTIAL, AND ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN AND IS LOCATED WITHIN THE DOMESTIC FOWL OVERLAY DISTRICT.  COLES MAGISTERIAL DISTRICT",A-1,SR-1,55,22,,,,,
REZ2017-00009,58673,,"HADDAD GROUP REZONING - A REQUEST TO REZONE A 7.97-ACRE PROPERTY FROM M-1, HEAVY INDUSTRIAL, AND A-1, AGRICULTURAL, TO B-1, GENERAL BUSINESS. THE PROPERTY IS LOCATED ON THE NORTH SIDE OF LEE HIGHWAY (ROUTE 29), APPROXIMATELY 1,100 FEET EAST OF ITS INTERSECTION WITH SOMERSET CROSSING DR. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPINS 7397-23-1228 AND 7397-13-8922; IS DESIGNATED ER, ENVIRONMENTAL RESOURCE, CEC, COMMUNITY EMPLOYMENT CENTER, AND SUBURBAN RESIDENTIAL HIGH, IN THE COMPREHENSIVE PLAN; IS LOCATED WITHIN THE LEE HIGHWAY (ROUTE 29) HIGHWAY CORRIDOR OVERLAY DISTRICT; AND IS WITHIN THE I-66/ ROUTE 29 SECTOR PLAN. BRENTSVILLE MAGISTERIAL DISTRICT.  THIS CASE IS COMPANION TO SPECIAL USE PERMIT #SUP2017-00014, TO ALLOW A CAR WASH ON AN APPROX. 1.88-ACRE PORTION OF THE LARGER SITE.","M-1, A-1",B-1,7.97,,,,,,
REZ2017-00010,70196,,"REZONING REQUEST RECEIVED SEPTEMBER 2, 2016 - SUBJECT TO SB 549 - PENNINGTON LANE - REZ - TO REZONE +/- 6.84 ACRES FROM A-1, AGRICULTURAL, TO R-2, SUBURBAN RESIDENTIAL, TO ALLOW FOR THE DEVELOPMENT OF SEVEN SINGLE-FAMILY DETACHED DWELLING UNITS, WHICH INCLUDES THE APPLICANT'S SINGLE-FAMILY DETACHED RESIDENCE THAT IS PERMITTED TO BE CONSTRUCTED ON THE SITE THROUGH THE NCU2015-20052 LAWFULLY NONCONFORMING STATUS VERIFICATION. THE PROPERTY IS DESIGNATED AS SRL, SUBURBAN RESIDENTIAL LOW, IN THE COMPREHENSIVE PLAN.",A-1,R-2,6.84,6,,,,,
REZ2017-00011,,,"REZONING REQUEST RECEIVED JUNE 29, 2016 - NOT SUBJECT TO SB549
ESTATES AT BREN LANDING; REZONING REQUEST FROM A-1, AGRICULTURAL TO SR-1, SEMI-RURAL RESIDENTIAL. THE SITES ARE ZONED A-1, AGRICULTURAL, AND ARE DESIGNATED ER, ENVIRONMENTAL RESOURCE AND SRR, SEMI-RURAL RESIDENTIAL, IN THE COMPREHENSIVE PLAN. THE PROPERTIES ARE LOCATED IN THE DOMESTIC FOWL OVERLAY DISTRICT AND THE RESOURCE PROTECTION AREA OVERLAY. OCCOQUAN MAGISTERIAL DISTRICT. THE PROPERTIES ARE IDENTIFIED ON COUNTY MAPS AS GPINS: 7995-67-4142 AND 7995-66-6543. THE SITE IS LOCATED APPROXIMATELY 0.223 MILES NORTH OF THE INTERSECTION OF EVANS FORD ROAD AND WATERFRONT DRIVE.",A-1,SR-1,,,,,,,
REZ2017-00013,71492,,"PRESERVE AT LONG BRANCH (FORMERLY MID-COUNTY PARK & ESTATE HOMES)- TO REZONE 145.9 ACRES FROM A-1, AGRICULTURAL, TO SR-1, SEMI-RURAL RESIDENTIAL, FOR THE DEVELOPMENT OF UP TO 102 SINGLE-FAMILY DETACHED RESIDENTIAL UNITS ON 1 TO 4-ACRE LOTS; AND TO ESTABLISH A 168.6-ACRE NATURAL AREA PRESERVE AND 21.4-ACRE OFFSITE PRESERVATION AREA, TO BE KNOWN AS MADDOX & SINCLAIR MILL PRESERVATION AREA.  THE PROJECT AREA IS LOCATED TO THE WEST OF THE TERMINI OF CLASSIC SPRINGS DR. AND HONEYSUCKLE RD.; NORTH AND WEST OF THE TERMINUS OF COUNSELOR RD.; NORTH OF THE TERMINUS OF CLASSIC LAKES WAY; EAST OF DOVES LANDING PARK; AND WEST OF THE TERMINUS OF SINCLAIR MILL RD.  THE SUBJECT 337.3-ACRE REZONING AREA IS IDENTIFIED ON COUNTY MAPS AS THE FOLLOWING GPINS:  7792-99-5798 (PT.); 7793-74-9115; 7793-82-2751 (PT.); 7793-83-3326 (PT.); 7793-84-2716; 7793-84-5647; 7793-84-7507 (PT.); 7893-10-7686; AND 7893-11-6930.  THE SITE IS CURRENTLY DESIGNATED AE, AGRICULTURAL OR ESTATE; ER, ENVIRONMENTAL RESOURCE; AND SRR, SEMI-RURAL RESIDENTIAL, IN THE COMPREHENSIVE PLAN.  THE SITE IS LOCATED WITHIN BOTH THE RURAL AREA AND DEVELOPMENT AREA OF THE COUNTY; AND IS LOCATED WITHIN THE DOMESTIC FOWL OVERLAY DISTRICT.  COLES MAGISTERIAL DISTRICT  (CONCURRENTLY BEING PROCESSED WITH #CPA2020-00008;  REZONING REQUEST RECEIVED JUNE 30, 2016, NOT SUBJECT TO SB549)",A-1,SR-1,145.9,102,,,,,
