Case.Number,Part,Description,zoning_old,zoning_new,acres,n_unknown,n_mfa,n_sfd,n_sfa,n_age_restrict,n_affordable
ZMAP-2021-0001,1,GUM SPRING RESIDENTIAL : A Zoning Map Amendment to rezone approximately 2.0 acres from R-1 to  R-8 Single Family Residential District for the development of up to 12single-family attached residential units.,,R8,,,,,,,
ZMAP-2021-0002,1,ALDIE HISTORIC DISTRICT ADDITION : A Zoning Map Amendment to add two parcels to the existing Historic    District of Aldie per Section 6-1806 of the Revised 1993 Loudoun      County Zoning Ordinance.,,,,,,,,,
ZMAP-2021-0003,1,"RIVANA AT INNOVATION STATION : A Zoning Map Amendment to rezone approximately 80 acres of property   from PD-OP, PD-RDP to PD-TC Zoning District and to revise and         supersede any previous CDP and Proffers associated on the property fora mixed-use development.",,,,,,,,,
ZMAP-2021-0004,1,"COLONNADE : A Zoning Map Amendment to rezone approximately 4.15-acre property fromPD-CC-NC to R-16, Townhouse/Multi-family Residential for the          development of 60 single-family attached dwelling units inclusive of 8Affordable Dwelling Units.",,R16,,,,,,,
ZMAP-2021-0005,1,"BELMONT PARK : A Zoning Map Amendment to rezone approximately 12.16 acres of propertyfrom the PD-OP Zoning District to R-16, Townhouse/Multi-family        Residential to allow the development of 71 single-family attached     units and 70 2 over 2 units.",,R16,,,,,,,
ZMAP-2021-0006,1,HYDE PARK : A Zoning Map Amendment (ZMAP-2021-0006) to rezone approximately 57.61 acres from PD-OP and PD-H3 (administered as PD-OP) to R-16 ADU Zoning District to allow the development of 444 single-family attached and   381 stacked townhouse or multi-family residential units.,,,,,,,,,
ZMAP-2021-0007,1,INNOVATION MULTIFAMILY : A Zoning Map Amendment to rezone approximately 4.8 acres from R-1 to  PD-TC Zoning District to allow the development of 415 rental          multi-family                                                          attached dwelling units.,,PDTC,,,,,,,
ZMAP-2021-0008,1,"VILLAGE AT CLEAR SPRINGS : A Zoning Map Amendment (ZMAP-2021-0008) to rezone approximately 245.95acres from AR-1 to PD-H6 administered as R-8 and R-16 Zoning Districtsto allow the development of 1,238 total dwelling units.",,,,,,,,,
ZMAP-2021-0009,1,LEESBURG SOUTH FIRE & RESCUE STATION : A Zoning Map Amendment to rezone 5 acres of a 181.22 acre parcel from PD-RV to A-3 to allow the development of a Fire and Rescue Station.,,,,,,,,,
ZMAP-2021-0010,1,DOGWOOD FARM STATION : Zoning Map Amendment to rezone 19.33 acres from A-3 to R-24 ADU to    construct 485 multi-family units including 100 affordable dwelling    units.,,,,,,,,,
ZMAP-2021-0011,1,AIRPORT IMPACT OVERLAY DISTRICT UPDATE : Zoning Map Amendment to amend the boundaries of the Airport Impact    Overlay District (AIOD).,,,,,,,,,
ZMAP-2021-0012,1,COMPASS CREEK SECTION 4 : A Zoning Map Amendment to rezone approx. 10.03 acre portion of Parcel A2-1 from PD-CC(SC) to PD-IP. Applicant is requesting to amend        proffers on the PD-IP property and PIN 234-29-0522 to bring both areasmore in conformance.,,PDIP,,,,,,,
ZMAP-2021-0013,1,PINEBROOK LANDING : A Zoning Map Amendment to rezone 25.17 acres from CLI to R-24 to allow499 stacked multi-family dwelling units including 31 affordable units.,,,,,,,,,
ZMAP-2021-0014,1,45865 MARIES RD REZONING : A Zoning Map Amendment to rezone 10 acres from A-3 to PD-IP and a     Special Exception to permit a maximum 1.0 FAR for data center use.,,PDIP,,,,,,,
ZMAP-2021-0015,1,"LEXINGTON 7, LAND BAY A : Request to rezone approximately 4.28 acres from the R-8 zoning        district to the R-8 zoning district with zoning district modificationsto permit development up to 23 single family residential units.       A Zoning Concept Plan Amendment to amend the Proffers and Concept     Development Plan associated with ZMAP-2015-0001 to allow Land Bay A tobe developed with a  maximum of 35 age-restricted single family       attached residential units.",,R8,,,,,,,
ZMAP-2021-0016,1,"CEDAR TERRACE AT SOUTH RIDING : A Zoning Map Amendment to rezone a 29.54 acre portion of the Subject  Property from PD-CC(SC) (Planned Development - Commercial Center      (Small Regional Center)), PD-H4 (Planned Development-Housing 4), and  CLI (Commercial Light Industry) zoning districts to the               Townhouse/Multifamily   16 zoning district under Affordable Dwelling  Unit regulations (R-16 ADU) under the Revised 1993 Zoning Ordinance inorder to develop up to 393 dwelling units consisting of 211           single-family attached (SFA), 130 multifamily stacked (MFA) and 52    multifamily attached (MFA) dwelling units at a density of 13.30       dwelling units per acre.",,,,,,,,,
ZMAP-2021-0017,1,"NORTHSTAR SQUARE : A Zoning Map Amendment to rezone 110.86 acres from PD-OP to R-16 ADU, R-24 ADU, PD-CC(CC), and PD-RDP.",,,,,,,,,
ZMAP-2021-0018,1,"FIREFOX DULLES : A Zoning Map Amendment ( ZMAP ) to rezone the parcel to the Planned   Development-Industrial Park ( PD-IP ) zoning district to allow the    development of data center                                            uses the Property up to an FAR of 0.6, and a Special Exception (SPEX) to increase the FAR to                                                1.0",,PDIP,,,,,,,
ZMAP-2021-0019,1,"BRAMBLETON SHREVEPORT SOUTH : A Zoning Amendment to rezone approximately 50.4-acre Land Bay 3F from PD-IP to the PDH4 district, administered as R-16 ADU. As depicted on Sheets 8 and 9 of the CDP, this rezoning will allow the development ofup to 197 single-family attached units and up to 350 multi-family     units, inclusive of ADUs and affordable housing units. As depicted on the CDP, Land Bay 3F will be accessed from Evergreen Mills Road.",,,,,,,,,
ZMAP-2021-0020,1,GOOSE CREEK CLUB II : A Zoning Map Amendment to rezone a portion of the property from PD-OP to PD-H4 administered as R-16 to allow 82 single family dwellings.,,,,,,,,,
ZMAP-2021-0021,1,TRANSDULLES PLAZA REZONING : A Zoning Map Amendment and Zoning Conversion in the Rt 28 Tax Districtto convert 9.79 acres from PD-IP under the 1972 Zoning Ordinance to   PD-GI under the Revised 1993 Zoning Ordinance for warehousing and     outdoor storage uses.,,,,,,,,,
ZMAP-2021-0022,1,UNIVERSITY CENTER LAKEVIEW : A Zoning Map Amendment to rezone 21.54 acres from PD-RDP under the    1972 Zoning Ordinance to R-24 under the Revised 1993 Zoning Ordinance.,,R24,,,,,,,
ZMAP-2021-0023,1,DEFENDER DRIVE : A Zoning Map Amendment application to change the existing zoning from Planned Development Housing 4 ( PDH 4 ) and Countryside Residential 1 ( CR 1 ) to R 16 Townhouse/Multi family Residential ADU ( R 16 ADU)   district under the Revised 1993 Loudoun County Zoning Ordinance,,,,,,,,,
ZMAP-2021-0024,1,LANSDOWNE BLVD REZONING : A Zoning Map Amendment to rezone 9.22 acres from PD-OP to R-16 ADU to develop 72 SFA and 58 multi-family stacked dwelling units.,,,,,,,,,
ZMAP-2022-0001,1,INNOVATION GATEWAY : A Zoning Map Amendment to rezone the approximately 30-acre Property tothe Planned Development-Town Center ( PD-TC ) and Planned             Development-Office Park ( PD-OP ) zoning Districts. This rezoning willallow the Property to be developed in two Land Bays. Land Bay 1 will  be development with up to 450 multi-family units in a stand-a-lone    building and Land Bay 2 will be improved with two office-style data   centers.,,,,,,,,,
ZMAP-2022-0002,1,SHAW ROAD : A Zoning Map Amendment requesting a rezoning to change the existing   zoning from Planned Development   Industrial Park ( PD-IP ) to PlannedDevelopment   Town Center (PD-TC). To permit the development of up to 274 multifamily attached residential units.,,,,,,,,,
ZMAP-2022-0003,1,"TILLETTS VIEW : A Zoning Map Amendment to rezone approximately 31 acres of the        Property northeast of Black Angus Drive to R 8 and the remaining 18.6 acres of the Property southwest of Blank Angus Drive along Belmont    Ridge Road to R 16. The proposed R 8 and R 16 zoning districts allow  up to 8 and 16 dwelling units per acre, respectively, to permit the   development of a neighborhood that is consistent with the General Planrecommendations for the Property.",,,,,,,,,
ZMAP-2022-0004,1,DESAI RESIDENTIAL : A Zoning Map Amendment to rezone 9.62 of the 10.06 acres from         TR-1LF/TR-3LF to R-8 ADU to establish 38 units.,,,,,,,,,
ZMAP-2022-0005,1,"OLD ARCOLA RESIDENTIAL : A Zoning Map amendment to rezone approx. 31.665 acres of land from RC and GB to R-8 and R-16 ADU, for a maximum of 300 residential units, a public community park and a recycling facility.",,,,,,,,,
ZMAP-2022-0006,1,ARCOLA FARMS RESIDENTIAL : A Zoning Map Amendment to rezone 80.8 acres from TR-10/PD-H4 to R-4   ADU to establish 307 SFD.,,,,,,,,,
ZMAP-2022-0007,1,VANTAGE DATA CENTER : A Zoning Map Amendment application to bring all seven parcels within  the PD-IP district governed by the most updated version of the Revised1993 Loudoun County Zoning Ordinance.,,PDIP,,,,,,,
ZMAP-2022-0008,1,"ALIGNED ENERGY DATA CENTER : A Zoning Map Amendment to rezoning the Property from R-1 to PD-OP,    which allows data center uses by-right",,,,,,,,,
ZMAP-2022-0009,1,GUILFORD STATION SOUTH : A Zoning Map Amendment Rezoning from the C-1 zoning district under the1972 Zoning Ordinance to the PD-CC (SC) zoning district under the     Revised 1993 Zoning Ordinance to permit the establishment of a        standalone car wash.,,PDCCSC,,,,,,,
ZMAP-2022-0010,1,ZONING ORDINANCE REWRITE REMAPPING : See ZOAM-2020-0001 for all documents.,,,,,,,,,
ZMAP-2022-0011,1,DULLES AIRPORT SOLAR PROJECT : Project documents located under application number ZOAM-2022-0002.,,PDGI,,,,,,,
ZMAP-2022-0012,1,"GLASCOCK FIELD AT STONE RIDGE : A Zoning Map Amendment proposing to rezone 69 market rate single      family detached units and 10 affordable single family detached units  to PD-OP, to include a tot lot, central green and recreation park.",,,,,,,,,
ZMAP-2022-0013,1,"GOOSE CREEK VILLAGE WEST : A Zoning Map Amendment to rezone 20 acres to the R-16 ADU             Townhouse/Multi-family Residential zoning district in order to developup to 222 total residential units, including up to 46 market rate     Stacked Multifamily residential units, up to 104 market rate Single   Family Attached residential units, and up to 72 Attached Multi-Family residential units to be provided as affordable housing units.",,,,,,,,,
ZMAP-2022-0014,1,DEFENDER WEST : A Zoning Map Amendment to rezone from Planned Development-Housing 4   (PD-H4) to R-24 Multifamily Residential to permit the development of  262 multifamily units.,,,,,,,,,
ZMAP-2022-0015,1,"CASCADES MARKETPLACE : A Zoning Map Amendment requesting to change the existing zoning from  PD-H4, administered under PD-CC-SC, to PD-TC in order to entitle the  Property for residential uses, while maintaining and  upgrading the   existing retail development.",,,,,,,,,
ZMAP-2022-0016,1,COMMONWEALTH RESIDENTIAL : A Zoning Map Amendment to rezone the Property from the PC-CC(SC) to   the R-24 zoning district to develop a 118-unit multifamily attached   building.,,,,,,,,,
ZMAP-2022-0017,1,N/A : N/A,,,,,,,,,
ZMAP-2022-0018,1,COMMONWEALTH RESIDENTIAL : A Zoning Map Amendment to rezone from R-24 to R-24 to allow concurrentZMOD of Article 7 ADU regulations.,,,,,,,,,
ZMAP-2022-0019,1,"STONE RIDGE SECTION 40 : A Zoning Map Amendment to rezone the R-1 zoned properties PDH-4       Administered as R-8 ADU, pursuant to Section 7-800.",,,,,,,,,
ZMAP-2022-0020,1,DULLES LOGISTIC REZONING : A Zoning Map Amendment to rezone from MRHI & CLI to PD-GI.to develop  warehouse use.,,,,,,,,,
ZMAP-2022-0021,1,BELMONT INNOVATION CAMPUS : A Zoning Map Amendment to rezone 84.52 acres from A-3 and PD-GI to    PD-IP.,,,,,,,,,
ZMAP-2022-0022,1,ORME FARM REZONING : A Zoning Map Amendment to rezone 11.7 acre portion of a 107.9 acre    property from JLMA-20 to PD-IP.,,,,,,,,,
ZMAP-2022-0023,1,DULLES NORTH CORPORATE PARK 8 : A Zoning Map Amendment to rezone the 10.4 acre property from PD-IP andC-1 under the 72 Zoning Ordinance to PD-IP under the Revised 93 ZoningOrdinance.,,,,,,,,,
ZMAP-2022-0024,1,GREENLIN PARK : A Zoning Map Amendment to rezone 85.18 portion of property from TR-10 and JLMA-20 to PD-IP.,,,,,,,,,
ZMAP-2023-0001,1,LUCK STONE COCHRAN MILL : A Zoning Map Amendment to rezone portion of project area              from MR-HI to PD-GI.,,,,,,,,,
ZMAP-2023-0002,1,CROSS MILL CENTER : A Zoning Map Amendment request to rezone 20.91 acres from JLMA-20     zoning district to the PD-IP zoning district.,,,,,,,,,
ZMAP-2023-0003,1,GREENFIELD FARM REZONING : A Zoning Map Amendment to rezone 165.25 acres from AR-1 to PD-H4 to beadministered as R-4(ADU) and PD-CC(CC).,,,,,,,,,
ZMAP-2023-0004,1,HIDDENWOOD ASSEMBLAGE : A Zoning Map Amendment proposing tp rezone the properties from the    CR-1 district to the Planned Development Industrial Park district     (PD-IP).,,,,,,,,,
ZMAP-2023-0005,1,ARCOLA GROVE REZONING : A Zoning Map Amendment to rezone approximately 30 acres to build a    Utility Transmission Substation and data center. Four of the parcels  comprising the property are zoned Planned Development-Industrial Park (PD-IP) under the Revised 1993 Loudoun County Zoning Ordinance. The   other two parcels comprising the remainder of the property are zoned  Rural Commercial (RC). the entire Property to the PD-IP.,,,,,,,,,
ZMAP-2023-0006,1,BELMONT COVE REZONING : A Zoning Map Amendment to rezone 8.19 acres from the PD-OP district tothe R-16(ADU) district.,,,,,,,,,
ZMAP-2023-0007,1,"LOUDOUN VALLEY APARTMENTS REZONING : A Zoning Map Amendment to rezone from PD-H4 (approx. 16 acres) to the PD-TC to allow for the development of up to 255 multifamily attached  units and up to 15,000 square feet of commercial space.",,,,,,,,,
ZMAP-2023-0008,1,VALLEY COMMERCE CENTER : A Zoning Map Amendment to rezone approximately 117.07 acres from      JLMA-3 district to PD-IP to establish a business park.,,,,,,,,,
ZMAP-2023-0009,1,DULLES LANDING SOUTH : A Zoning Map Amendment to rezoning approximately 18.68 acres of from  Planned DevelopmentCommercial Center (Regional Center) ( PD-CC(RC) ) to the Planned Development-Industrial Park ( PD-IP )  to establish    PD-IP uses.,,,,,,,,,
ZMAP-2023-0010,1,LUCK STONE LEESBURG PLANT : A Zoning Map Amendment to rezone area to MR-HI and amend permitted    uses within application area and consolidate previous proffered       conditions,,,,,,,,,
ZRES-2018-0001,1,BRADDOCK SPRING VILLAGE CENTER : A Zoning Residential Nonexempt for 76 single family attached          residential units in the                                              Transition Policy Area.,,,,,,,,,
ZRES-2018-0002,1,"CATTAIL RUN : A Zoning Residential Non Exempt to rezone all or portions of property from JLMA-3 and Rural Commercial Zoning Districts to the PD-H3 Zoning District, administered as R-8 Zoning for a maximum of 250 residential units.",,,,,,,,,
ZRTD-2009-0003,1,"STEEPLECHASE SPORTSPLEX, LLC : Rezone one parcel along Atlantic Boulevard from the 1972 PD-IP zoning district to the Revised 1993 PD-IP zoning district.",,PDIP,,,,,,,
ZRTD-2010-0001,1,BEAUMEADE UNIT 125 : Convert Unit 125 from PD-IP 1993 Zoning Ordinance to PD-IP Revised    1993 Ordinance.,,,,,,,,,
ZRTD-2010-0002,1,CIT GUILFORD DRIVE LLC : Rezone from PD-IP governed by the 1972 Zoning Ordinance to PD-IP governed by the Revised 1993 Zoning Ordinance.,,PDIP,,,,,,,
ZRTD-2010-0003,1,WOODLAND ROAD PROPERTY LLC : Rezone from PD-IP governed by the 1972 Zoning Ordinance to PD-IP governed by the Revised 1993 Zoning Ordinance.,,,,,,,,,
ZRTD-2010-0004,1,PIM WOODLAND ROAD PROJECT : Rezone from PD-IP governed by the 1972 Zoning Ordinance to PD-IP governed by the Revised 1993 Zoning Ordinance.,,PDIP,,,,,,,
ZRTD-2010-0005,1,"44664 GUILFORD DRIVE : A Zoning Map Amendment to convert from PDIP, governed under the 1972  Zoning Ordinance to PDIP, governed under the Revised 1993 Zoning      Ordinance in the Route 28 Corridor. SEE SPEX 2010-0031 for all        application documents.",,PDIP,,,,,,,
ZRTD-2010-0006,1,ROBERT TILLERY : Rezone from PD-IP governed by the 1972 Zoning Ordinance to PD-IP      under the Revised 1993 Zoning Ordinance.,,PDIP,,,,,,,
ZRTD-2011-0001,1,LOUDOUN GATEWAY V : Rezone from PD-IP (1972 Zoning Ordinance) to PD-IP (Revised 1993 Zoning Ordinance).,,PDIP,,,,,,,
ZRTD-2011-0002,1,STERLING BUSINESS PARK-LOT 6A : Rezone from the 1993 PD-IP to the Revised 1993 PD-IP zoning district.,,,,,,,,,
ZRTD-2011-0003,1,DULLES INTERNATIONAL PARK : Rezone from PD-IP (1993 Zoning Ordinance) to PD-IP (Revised 1993      Zoning Ordinance).,,PDIP,,,,,,,
ZRTD-2011-0004,1,21800 BEAUMEADE CIRCLE : Rezone from 1972 PD-IP to Revised 1993 Zoning Ordinance,,PDIP,,,,,,,
ZRTD-2011-0005,1,21550 & 21580 BEAUMEADE CIRCLE : Rezone from the 1972 PD-IP to the Revised 1993 PD-IP.,,PDIP,,,,,,,
ZRTD-2011-0006,1,BEAUMEADE NORTH PARCEL C1 (PORTION) : Rezone 35.4 of a 86.68 acre parcel from the 1993 PD-IP to the Revised 1993 PD-IP.,,,,,,,,,
ZRTD-2011-0007,1,BEAUMEADE NORTH PARCEL C : Rezone from the 1993 Zoning Ordinance PD-IP to the Revised 1993 Zoning Ordinance PD-IP.,,PDIP,,,,,,,
ZRTD-2011-0008,1,GATEWAY NORTH - LOTS 1A & 1B : Rezone from PD-IP (1993 Zoning Ordinance) to PD-IP (Revised 1993 Zoning Ordinance).,,PDIP,,,,,,,
ZRTD-2011-0009,1,STERLING PARK BUSINESS CENTER LOT 5 : Rezone from the '72 PD-IP to Revised '93 PD-IP.,,,,,,,,,
ZRTD-2011-0010,1,STERLING OAKS COMMERCE CENTER II LLC : Rezone from PD-IP governed by the 1972 Zoning Ordinance to PD-IP governed by the Revised 1993 Zoning Ordinance.,,PDIP,,,,,,,
ZRTD-2011-0011,1,BROAD RUN BUSINESS CENTER PH 1 L 5A : Rezone from PD-IP governed by the 1993 Zoning Ordinance to PD-IP governed by the Revised 1993 Zoning Ordinance.,,PDIP,,,,,,,
ZRTD-2011-0012,1,CHAUDHRY BUILDING : Rezone from PD-GI (1972 ZO) to PD-GI (Revised 1993 ZO).,,PDGI,,,,,,,
ZRTD-2011-0013,1,SHEPARD DRIVE LLC : Rezone from PD-IP (1972 ZO) to PD-IP (Revised 1993 ZO).,,,,,,,,,
ZRTD-2011-0014,1,"DULLES TOWN CENTER - TRANSIT FACILITY : After abandonment of existing right-of-way, zoning will revert back to the previous zoning, which is 0.5 ac. PD-OP ('72) and 0.6 ac. ('72).  Rezone respectively 0.5 acres PD-OP and 0.6 acres PD-IP (Rev. '93).",,PDIP,,,,,,,
ZRTD-2011-0014,2,"DULLES TOWN CENTER - TRANSIT FACILITY : After abandonment of existing right-of-way, zoning will revert back to the previous zoning, which is 0.5 ac. PD-OP ('72) and 0.6 ac. ('72).  Rezone respectively 0.5 acres PD-OP and 0.6 acres PD-IP (Rev. '93).",,PDOP,,,,,,,
ZRTD-2012-0001,1,GATEWAY NORTH LOT 3B : Rezone from PD-IP (1972) to PD-IP (Revised 1993).,,PDIP,,,,,,,
ZRTD-2012-0002,1,OAKBROOK COMMERCE CENTER : Rezone from PD-IP (1972 Ordinance) to PD-IP (Revised 1993 Zoning Ordinance).,,PDIP,,,,,,,
ZRTD-2012-0003,1,STAVERTON WEST : Rezone from PD-IP (1972 Zoning Ordinance) to PD-IP (Revised 1993 Zoning Ordinance).,,PDIP,,,,,,,
ZRTD-2012-0004,1,BLACKWOOD PROPERTIES : Rezone from the 1972 Zoning Ordinance to the Revised 1993 Zoning      Ordinance PD-GI; and to request a modification to the proffered       buffer approved with ZMAP-1986-0022.,,PDGI,,,,,,,
ZRTD-2012-0005,1,DOUBLETREE HOTEL : Rezone approximately 7.9 acres from PD-IP (1972) to PD-IP (Revised 1993).,,PDIP,,,,,,,
ZRTD-2012-0006,1,BROAD RUN BUSINESS CENTER PH IIIA L J1A : Rezone from PD-GI (1993) to PD-GI (Revised 1993).,,PDGI,,,,,,,
ZRTD-2012-0007,1,MERRITT AT LOUDOUN TECH CENTER : Rezone from PD-IP (1993) to PD-IP (Revised 1993).,,PDIP,,,,,,,
ZRTD-2012-0008,1,WAWA - OLD OX ROAD : Rezone from PD-GI governed by the 1972 Zoning Ordinance to PD-GI      governed by the Revised 1993 Zoning Ordinance.,,PDGI,,,,,,,
ZRTD-2013-0001,1,"GLENN DRIVE : A Zoning Map Amendment to convert from PDIP, governed under the 1972  Zoning Ordinance to PDIP, governed under the Revised 1993 Zoning      Ordinance in the Route 28 Corridor.",,PDIP,,,,,,,
ZRTD-2013-0002,1,FOUR CORNERS INDUSTRIAL PARK LOT 1 : Rezone from PD-GI governed by the 1972 Zoning Ordinance to PD-GI      governed by the Revised 1993 Zoning Ordinance.,,PDGI,,,,,,,
ZRTD-2013-0003,1,LOUDOUN PARKWAY ONE : A zoning map conversion from the 1972 Zoning Ordinance PDIP to the Revised 1993 Zoning Ordinance PDIP,,PDIP,,,,,,,
ZRTD-2013-0004,1,DAVIS DRIVE SUBSTATION : A zoning map conversion from the PDIP under the 1972 Zoning Ordinace to PDIP under the Revised 1993 Zoning Ordinance,,,,,,,,,
ZRTD-2013-0005,1,STERLING PARK BUSINESS CENTER : A zoning map amendment to convert to the revised 93 zoning ordinance,,PDIP,,,,,,,
ZRTD-2013-0006,1,ROUTE 28 HEALTH AND FITNESS CENTER : Rezone from the 1972 PD-IP to the Revised 1993 Ordinance PD-IP.,,,,,,,,,
ZRTD-2013-0007,1,"CASCADES BUSINESS CENTER : A Zoning Map Amendment to convert from PDIP, governed under the 1972  Zoning Ordinance to PDIP, governed under the Revised 1993 Zoning      Ordinance in the Route 28 Corridor",,PDIP,,,,,,,
ZRTD-2013-0008,1,ALLIED PLAZA II LOT 3 : Rezone from C-1 (1972 ZO) to PD-CC (Revised 1993 ZO).,,PDCCCC,,,,,,,
ZRTD-2014-0001,1,LOUDOUN TECH CENTER : Rezone 14.3 acres from PD-IP (1972 ZO) to PD-IP (Rev. 1993 ZO).,,PDIP,,,,,,,
ZRTD-2014-0002,1,THE FAIRFAX CHRISTIAN SCHOOL : A zoning map conversion from the 1993 PD-IP Zoning Ordinance to the   Revised 1993 Zoning Ordinance PD-IP,,PDIP,,,,,,,
ZRTD-2014-0003,1,22675 GLENN DRIVE : A Zoning Map Amendment to convert from PDIP governed under the 1972   Zoning Ordinance to PDIP governed under the Revised 1993 Zoning       Ordinance.,,PDIP,,,,,,,
ZRTD-2014-0004,1,WOODLAND ROAD INDUSTRIAL PARK : A zoning map amendment to rezone lots 1B and 2 of Woodland Road       Industrial Park from PDGI under the 1972 Zoning Ordinance to PDGI     under the Revised 1993 Zoning Ordinance.,,,,,,,,,
ZRTD-2014-0005,1,"IAD HOSPITALITY, LLC : A Zoning Map Amendment to rezone three PDIP parcels from the 1993     Zoning                                                                Ordinance to the Revised 1993 Zoning Ordinance",,PDIP,,,,,,,
ZRTD-2014-0006,1,COMMONWEALTH CENTER : A zoning map amendment to rezone approximately 205 acres from PDIP    subject to the 1972 Zoning Ordinance to the PDIP zoning district      subject to the Revised 1993 Zoning Ordinance,,PDIP,,,,,,,
ZRTD-2015-0001,1,ST. JOHN'S AT LOUDOUN TECH CENTER : A zoning map amendment to convert 2 properties from PD-IP under the   1972 Zoning Ordinance to PD-IP under the Revised 1993 Zoning Ordinance,,PDIP,,,,,,,
ZRTD-2015-0002,1,BEAUMEADE MERRITT TRACT B4 : A zoning map amendment to rezone approximately 4.74 acres from the    1993 zoning ordinance to the Revised 19923 zoning ordinance,,PDIP,,,,,,,
ZRTD-2015-0003,1,ASHBURN NORTH - EQUINIX : Rezone 44.43 acres from PD-IP governed by the Rev. 1993 Zoning        Ordinance (at ZRTD-2011-0007 approval on 7-17-2012) to PD-IP governed by the Rev. 1993 Zoning Ordinance as amended.,,PDIP,,,,,,,
ZRTD-2015-0004,1,PROSPECT INDUSTRIAL PARK LOT 4 : A Zoning Map Amendment to convert from PDIP governed under the 1972   Zoning Ordinance to PDIP governed under the Revised 1993 Zoning       Ordinance.,,PDIP,,,,,,,
ZRTD-2015-0005,1,BEAUMEADE SE QUADRANT : A zoning map amendment to rezone approximately 34.52 acres from PD-IP governed under the 1993 Zoning Ordinance to PD-IP governed under the  Revised 1993 Zoning Ordinance.,,PDIP,,,,,,,
ZRTD-2015-0006,1,EAST SEVERN WAY LOT 2 : .A zoning map amendment to rezone approximately 4.8 acres from PDIP   governed under the 1993 Zoning Ordinance to PDIP governed under the   Revised 1993 Zoning Ordinance,,PDIP,,,,,,,
ZRTD-2015-0007,1,STORAGE DEVELOPMENT PARTNERS OLD OX ROAD : A zoning map amendment to rezone from PDGI under the 1972 Zoning      Ordinance to PDGI under the Revised 1993 Zoning Ordinance,,PDGI,,,,,,,
ZRTD-2016-0001,1,DAVIS DRIVE SUBSTATION : A zoning map amendment to rezone approximately 5.3 acres from PDIP    governed under the 1972 zoning ordinance to PDIP governed under the   Revised 1993 zoning ordinance,,PDIP,,,,,,,
ZRTD-2016-0002,1,WESTDULLES STATION : Rezone approximately 28. 4 acres from PDIP  governed by the original  1993 Zoning Ordinance to PDIP governed by the Revised 1993 Zoning     Ordinance.                                                            Category,,PDIP,,,,,,,
ZRTD-2016-0003,1,DULLES WESTPORT : A zoning map amendment to rezone approximately 6.1 acres from PDIP    under the 1972 Zoning Ordinance to PDIP under the Revised 1993 Zoning Ordinance,,PDIP,,,,,,,
ZRTD-2016-0004,1,BROAD RUN BUSINESS CENTER LOTS 6 AND 7A : A zoning map amendment to rezone approximately 3.4 acres from PDGI    under the 1972 Zoning Ordinance to PDGI under the Revised 1993 Zoning Ordinance and to rezone approximately 20.91 acres from PDIP under the 1993 Zoning Ordinance to the Revised 1993 Zoning Ordinance,,PDIP,,,,,,,
ZRTD-2016-0005,1,NVA DEVELOPMENT GROUP : A zoning map amendment to rezone 4.0 acres from the 1972 PDIP districtto the Revised 1993 PDIP district,,PDIP,,,,,,,
ZRTD-2016-0006,1,NORTHERN GATE HOTEL : A zoning map amendment to rezone approximately 2 acres of land from   1972 PDOP to Revised 1993 PDOP,,PDOP,,,,,,,
ZRTD-2016-0007,1,LOUDOUN TECH CENTER LOT 12 : A zoning map amendment to rezone approximately 4.21 acres from PDIP   under the 1972 Zoning Ordinance to PDIP under the Revised 1993 Zoning Ordinance,,PDIP,,,,,,,
ZRTD-2016-0008,1,WOODLAND ROAD INDUSTRIAL PARK LOT 11 : A zoning map amendment to rezone approximately 2.10 acres from PDGI   under the 1972 Zoning Ordinance to PDGI under the Revised 1993 Zoning Ordinance,,PDGI,,,,,,,
ZRTD-2016-0009,1,FAIRFAX MARBLE & GRANITE : A zoning map amendment to rezone approximately 2.43 acres from PD-GI  under the 1972 Zoning Ordinance to PD-GI under the Revised 1993 ZoningOrdinance.,,PDGI,,,,,,,
ZRTD-2016-0010,1,DULLES NORTH INDUSTRIAL PARK LOT 2 : Rezoning from PD-IP under 93R ZO to PD-IP under 93R ZO as amended,,PDIP,,,,,,,
ZRTD-2016-0011,1,STERLING SELF-STORAGE : Rezone from the 72 ZO to the 93R ZO,,PDIP,,,,,,,
ZRTD-2016-0012,1,PARAGON PARK : Request to convert the 141.12 acre property to the PD-IP zoning       district pursuant to the 93R ZO,,PDIP,,,,,,,
ZRTD-2016-0013,1,HIGHPOINT EAST : ZRTD on Parcel 3 to convert it to R 93 ZO.,,PDIP,,,,,,,
ZRTD-2016-0014,1,PROSPECT INDUSTRIAL PARK LOT 3 : ZRTD to covert from 1972 ZO to R93 ZO,,PDIP,,,,,,,
ZRTD-2017-0001,1,STERLING CENTER LOT 1 : A ZRTD zoning conversion from the PD-IP Zoning                        District under the 1993 Loudoun County Zoning Ordinance PD-IP Zoning  District under the  Revised 1993 Loudoun County Zoning Ordinance.,,,,,,,,,
ZRTD-2017-0002,1,OAKBROOK COMMERCE CENTER LOT 4 : Zoning conversion from the revised 93 ZO in effect on January 7 2003  to the revised 93 as amended,,PDIP,,,,,,,
ZRTD-2017-0003,1,CONCORDE INDUSTRIAL PARK LOT 8 : Zoning conversion from the 1972 ZO to the revised 1993 ZO,,PDGI,,,,,,,
